statement,label
"Positive financial example: 

Company XYZ reported a record-breaking revenue of $500 million in the third quarter of 2021, marking a 15% increase from the same period last year. This growth was driven by strong demand for their innovative products in both domestic and international markets. Additionally, the company's operating margin expanded to 20%, reflecting improved efficiency and cost management strategies implemented by the management team.",2
"- The company reported a 23% increase in operating profit, reaching EUR 139.7 million from EUR 113.8 million.",2
"Nyrstar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivaara's leaching process.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer,2
"- The company's operating profit increased to EUR 139.7 mn, up 23% from EUR 113.8 mn.",2
"Nyrstar has also agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivaara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Ti,2
- The operating profit increased by 23% to EUR 139.7 million from EUR 113.8 million.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in the leaching process in Talvivaara.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
The new technology improves glass quality and consistency while increasing throughput,2
"The company reported a significant increase in operating profit, totaling EUR 139.7 million, up 23% from EUR 113.8 million in the previous period.

",2
"Nyrstar has agreed to supply up to 150,000 tonnes of sulphuric acid annually for use in Talviivara's leaching process during the zinc concentrate supply period.

",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000",2
"- The company operating profit increased by 23% to EUR 139.7 million, up from EUR 113.8 million.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in the leaching process in Talviivara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiim,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari reported a 2% year-on-year increase in,2
"- The company's operating profit was EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrstar has also agreed to supply to Talviivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talviivaara's leaching process during the period of supply of the zinc in concentrate.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from",2
- The company's operating profit increased by 23% from EUR 113.8 million to EUR 139.7 million.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari reported,2
- Operating profit increased to EUR 146 million from a loss of EUR 267 million in 2009.,2
The new technology improves glass quality and consistency while increasing throughput.,2
"Comptel, a vendor of dynamic Operations Support System (OSS) software, has been selected by Orascom Telecom (OTH) as a partner for provisioning and activation solutions for mobile services.",2
"MANAVIGATOR - September 7, 2010 - Kemira unveils Indian JV with IVRCL",2
"- The company reported a 23% increase in operating profit, rising from EUR 113.8 million to EUR 139.7 million.",2
"Nyrtar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talviivaara for use in their leaching process.",2
"The group's pre-tax loss narrowed to EUR 400,000 in the second quarter of 2010 from EUR 600,000 in the same period the previous year.",2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari's net sales rose,2
- Operating profit increasing by 23% to EUR 139.7 million,2
"Nyrstar agreeing to supply up to 150,000 tonnes of sulphuric acid per annum",2
"Group's pre-tax loss narrowing to EUR 400,000 in the second quarter of 2010",2
Sales of Finnish stationery and gift retailer Tiimari rising by 2% year-on-year to EUR 5.7 million in August 2010,2
"Operating result, including non-re",2
"- The company reported a net profit of EUR 5.7 million in August 2010, with sales driven by growth in Finland.",2
"Operating profit, including non-recurring items, increased to EUR 146 million from a loss of EUR 267 million in 2009.",2
"The Texas Department of Transportation awarded a contract for Teleste Video Compression and Distribution Equipment in Austin, Texas.",2
The new technology improves glass quality and consistency while increasing throughput.,2
"Comptel, a vendor of",2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000 in the second quarter of 2010.",2
"Ny rstar agreed to supply Talviivaara with up to 150,000 tonnes of sulphuric acid per annum.",2
The new technology improves glass quality and consistency while increasing throughput.,2
Navigator unveiled an Indian JV with IVR,2
"- **Operating Profit Growth**: Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.
  ",2
"**Supply Agreement**: Nyrtar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivaara's leaching process.
",2
"**Financial Improvement**: In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000",2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara.",2
"Group's pretax loss narrowed to EUR 400,000 from EUR 600,000 in the second quarter of 2010.",2
"Operating result, including non-recurring items, rose to EUR 146 mn from a loss of EUR",2
"- Operating profit increased by 23% to EUR 139.7 mn, up from EUR 113.8 mn.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari reported a,2
"- Operating profit increasing by 23% to EUR 139.7 million, up from EUR 113.8 million.",2
"Nyarstar agreeing to supply up to 150,000 tonnes of sulphuric acid annually.",2
"Group's pre-tax loss narrowing to EUR 400,000 from EUR 600,000 in the second quarter of 2010.",2
Net sales of Finnish stationery and gift retailer Tiimari increasing by 2% year-on-year to EUR 5.,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Operating result including non-recurring items rose to EUR 146 mn from a loss of EUR,2
"- The company achieved a significant increase in operating profit, rising to EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara for use in their leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivaara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Tiimari reported a 2% year-on-year increase in,2
"- Operating profit increased by 23% to EUR 139.7 mn, up from EUR 113.8 mn.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finish stationery and gift retailer Tiimari reported a,2
"- The company's operating profit increased to EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrstar has also agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Ti,2
"- Operating profit reached EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara for use in their leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari reported a,2
"- Operating profit increased by 23% to EUR 139.7 million, up from EUR 113.8 million.",2
"Nyrstar has also agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivaara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
"NyriStar has inked a deal to supply 150,",2
"- The company experienced a significant increase in operating profit, reaching EUR 139.7 million, up 23% from the previous year.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid annually for use in Talviivara's leaching process.",2
"The group's pre-tax loss narrowed to EUR 400,000 in the second quarter of 2010 from EUR 600,000 in the previous year.",2
Tiimari reported a,2
"- Operating profit increased from EUR 113.8 mn to EUR 139.7 mn, a growth of 23%.",2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari reported a 2% year-on,2
"- The company achieved its operating profit target, increasing by 23% from the previous period.",2
Nyrtar agreed to supply a large quantity of sulfuric acid to Talviivara for their leaching process.,2
The group's pretax loss decreased significantly in the second quarter of 2010.,2
Tiimari reported a 2% increase in net sales driven by growth in Finland.,2
"The company's operating result, including non-recurring items, improved to EUR 146 million",2
- The operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talvivaara.",2
"The group's pretax loss narrowed to EUR 400,000 from EUR 600,000 in the second quarter of 2010.",2
"Operating results, including non-recurring items, rose to EUR 146 mn from a loss of",2
"- The company achieved a net profit of EUR 5.7 million in August 2010, representing a 2% increase year-on-year, driven by growth in Finland.",2
"Operating profit rose to EUR 146 million, up from a loss of EUR 267 million in the previous year, including non-recurring items.",2
"Nyrstarr agreed to supply up to 150,000 tonnes of sulphuric acid annually for use in Talvivaara's leaching process.
-",2
"- Operating profit increased to EUR 139.7 mn, up 23% from EUR 113.8 mn.",2
"The group's pretax loss narrowed to EUR 400,000 from EUR 600,000 in the second quarter of 2010.",2
Operating result including non-recurring items rose to EUR 146 mn from a loss of EUR 267 mn in 2009.,2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR",2
"- Operating profit increased to EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrtar has also agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivara's leaching process.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimari saw,2
"- The company's operating profit increased to EUR 139.7 mn, up 23% from EUR 113.8 mn.",2
