text,label
"- The company recorded a significant increase in operating profit, reaching EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrtastar agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivaara's leaching process during the supply period of the zinc concentrate.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600",2
"The company reported a pre-tax profit increase of 15% from the previous year, reaching a total of USD 1.5 million.

",2
"The technology company Simdax successfully expanded its market presence in over 40 countries, with approved marketing authorizations in each region.

",2
"Orion Pharma's operating profit surged by 55.5% in the last quarter, showcasing their strong financial performance and growth trajectory.

",2
"Rakvere Liha, the leading meat processing company, underwent",2
"**Positive Example:**
   - Operating profit for the year ended December 31, 2021, increased by 15% compared to the previous year, reaching a total of USD 250 million.
  
",2
"**Positive Example:**
   - XYZ Corporation's net sales in the first quarter of 2022 exceeded analysts' forecasts, totaling EUR 180 million, showcasing a growth of 8% year-on-year.

",2
"**Positive Example:**
   - Following the successful",2
"- The company reported a significant increase in operating profit, reaching EUR 139.7 million, up 23% from EUR 113.8 million.",2
"Nyrtar agreed to supply up to 150,000 tonnes of sulphuric acid annually to Talviivara for use in their leaching process.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift,2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrstar agreed to supply up to 150,000 tonnes of sulphuric acid per annum.",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimar announced a 2% year-on-year increase in net sales to EUR 5,2
"The company's operating profit increased by 23% to EUR 139.7 million, up from EUR 113.8 million.
",2
"Nyrtar has agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivara's leaching process during the supply period of the zinc concentrate.
",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,",2
- Operating profit for the company increased by 23% from EUR 113.8 million to EUR 139.7 million.,2
"Nyrtastar agreed to supply 150,000 tonnes of sulphuric acid per annum to Talviivaara.",2
"The group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000 in the second quarter of 2010.",2
Operating result including non-recurring items rose to EUR 146 million from a loss of EUR,2
"The company's operating profit increased by 23% to EUR 139.7 million from EUR 113.8 million.

",2
"Nyrtastar has also agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talvivara's leaching process during the period of supply of the zinc concentrate.

",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600",2
"- The company reported a 15% increase in revenue for the first quarter of the year, reaching a total of $5.6 million.",2
"Operating profit for the fiscal year rose to EUR 250 million, a significant improvement from the previous year's results.",2
The acquisition of a new subsidiary is expected to boost the company's market presence and revenue stream in the coming quarters.,2
"Shareholders approved a dividend increase of 10% per share, reflecting the company's strong financial performance.
-",2
"- The company reported a net profit of EUR 200 million in the fourth quarter of 2021, marking a 15% increase from the same period in 2020.",2
"XYZ Corporation's operating income surged to USD 500 million, up by 30% compared to the previous year, driven by strong sales growth in international markets.",2
"The financial results for ABC Ltd. revealed a significant improvement in gross margin, reaching 25% in the first quarter of 2021 compared to",2
- Operating profit increased by 23% from EUR 113.8 mn to EUR 139.7 mn.,2
"Nyrtastar agreed to supply up to 150,000 tonnes of sulphuric acid per annum to Talviivaara.",2
"In the second quarter of 2010, the group's pretax loss narrowed to EUR 400,000 from EUR 600,000.",2
Finnish stationery and gift retailer Tiimar announced a 2% increase in net sales to,2
"- The company's net sales increased by 10% in the last quarter, reaching a total of $5.7 million in August 2010.",2
"Operating profit surged to EUR 146 million, marking a significant improvement from the loss of EUR 267 million in the previous year.",2
"**Positive Financial Example:**
   
   Company A reported a record-breaking operating profit of EUR 200 million in the last quarter, marking a 15% increase from the previous quarter. This boost was largely attributed to successful cost-cutting measures and increased revenue streams in key markets.

",2
"**Positive Financial Example:**
   
   XYZ Corporation's net sales for the fiscal year surpassed expectations, reaching EUR 500 million, driven by strong demand in emerging markets and innovative product launches. This marked",2
"Here are some financial examples:

",2
"Operating profit was EUR 139.7 million, up 23% from EUR 113.8 million.
",2
"Net sales rose by 2% year-on-year to EUR 5.7 million in August 2010.
",2
"Operating result including non-recurring items rose to EUR 146 million from a loss of EUR 267 million in 2009.
",2
"Pre-tax profit rose to EUR 1,019 million from EUR 1",2
"Operating profit increased by 23% from EUR 113.8 million to EUR 139.7 million.
",2
"Nyrstarr has agreed to supply up to 150,000 tonnes of sulphuric acid per annum for use in Talviivara's leaching process during the period of supply of the zinc concentrate.
",2
"In the second quarter of 2010, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000.
4",2
"- The company's operating profit increased by 15% from the previous quarter, reaching EUR 279 million.",2
New agreements with international partners have led to a projected revenue growth of 18% for the next fiscal year.,2
"Net income for the second quarter of 2021 was EUR 68.5 million, surpassing analyst expectations by 10%.",2
"Despite market volatility, the company's stock price has steadily increased by 25% over the past six months.",2
"The company's operating profit increased by 15% from the previous year, reaching a total of EUR 210 million.
  
",2
"Nyrtar has also agreed to supply 200,000 tonnes of sulfuric acid annually to Talvivara for use in their leaching process during the zinc concentrate supply period.

",2
"In the second quarter of 2020, the group's pre-tax loss narrowed to EUR 400,000 from EUR 600,000 in the same period the",2
"The operating profit of a company increased by 15% from $500,000 to $575,000 in the second quarter of 2021.

",2
